Frequency (Hz),Z' (Ohm),Z'' (Ohm)
7928.241,0.8921496850063579,-3.6581685911211803
6307.871,1.0630954519760498,-4.448416512821552
5034.722,1.2007576713498642,-5.531724119712075
3993.056,1.4465146154771162,-6.850518515991761
3144.055,1.756757945149574,-8.51576012618359
2519.531,2.1343245058834346,-10.42851095759198
2000.762,2.6606267662061285,-12.832702985189771
1580.669,3.3534505219949464,-15.854158993793483
1253.634,4.3024791519724745,-19.469891194576046
1000.702,5.4618614190997405,-23.65331719460077
790.0281,7.079543998302553,-28.99592881078885
628.811,9.07279884151926,-35.232331709248285
502.2321,11.658264533861118,-42.606142654422115
400.1524,14.897657689250089,-51.14860640187597
315.5048,19.481670322721733,-61.86337169364841
252.0161,24.637921768895684,-73.8680814474264
200.3205,31.517878891922404,-88.39339212927024
158.0056,40.39408353569757,-104.90567056501555
125.558,51.274909402843875,-124.72585507171378
99.734,64.83847494088404,-146.57403265296827
